city_ascii,lat,lng,country,division
Baruta,10.4335,-66.8754,Venezuela,Oceania
Tacloban,11.2444,125.0039,Philippines,Asia
Itaborai,-22.7475,-42.8558,Brazil,Oceania
Myitkyina,25.3867,97.3936,Myanmar,Asia
Barnstable,41.6722,-70.3599,United States,North America
Haeju,38.0333,125.7167,"Korea, North",Asia
Petah Tiqwa,32.0833,34.8833,Israel,Asia
Norfolk,36.8945,-76.259,United States,North America
Gonzalez Catan,-34.7708,-58.6464,Argentina,Oceania
Sete Lagoas,-19.4658,-44.2469,Brazil,Oceania
Tarapoto,-6.4833,-76.3667,Peru,Oceania
Zhangping,25.2938,117.4148,China,Asia
San Juan del Rio,20.3833,-99.9833,Mexico,North America
Sao Carlos,-22.0178,-47.8908,Brazil,Oceania
Fremont,37.5265,-121.9852,United States,North America
Halle,51.4828,11.9697,Germany,Europe
Sao Leopoldo,-29.76,-51.1469,Brazil,Oceania
Arakawa,35.7333,139.7833,Japan,Asia
Duzce,40.8417,31.1583,Turkey,Asia
Anju,39.6167,125.6667,"Korea, North",Asia
Divinopolis,-20.1389,-44.8839,Brazil,Oceania
Aarhus,56.1572,10.2107,Denmark,Europe
Kennewick,46.1978,-119.1732,United States,North America
Hobart,-42.8806,147.325,Australia,Oceania
Atushi,39.7114,76.1753,China,Asia
Chimoio,-19.1167,33.45,Mozambique,Africa
Limassol,34.675,33.0443,Cyprus,Europe
Garland,32.91,-96.6305,United States,North America
Magdeburg,52.1278,11.6292,Germany,Europe
Irving,32.8584,-96.9702,United States,North America
Hachimancho,40.51,141.54,Japan,Asia
Longueuil,45.5333,-73.5167,Canada,North America
Mokpo,34.7936,126.3886,"Korea, South",Asia
Kosice,48.7167,21.25,Slovakia,Europe
`Ajman,25.3994,55.4797,United Arab Emirates,Asia
Lille,50.6278,3.0583,France,Europe
Banda Aceh,5.55,95.3175,Indonesia,Asia
Shenmu,38.827,110.499,China,Asia
Le Havre,49.49,0.1,France,Europe
Taiping,4.85,100.7333,Malaysia,Asia
