city_ascii,lat,lng,division
Tequixquiac,19.9097,-99.1417,Morelos
Reyes Acozac,19.7667,-98.9833,Morelos
Degollado,20.4667,-102.15,Jalisco
Chiconcuac,19.55,-98.9,Estado de Mexico
Cotija de la Paz,19.81,-102.7047,Estado de Mexico
Motul,21.1667,-89.4667,Yucatan
Peto,20.1256,-88.9214,Yucatan
Loreto,26.0128,-111.3433,Baja California Sur
Ciudad Miguel Aleman,26.4003,-99.0253,Tamaulipas
Hidalgotitlan,17.7833,-94.6333,Veracruz
Zaragoza,19.7728,-97.5567,Puebla
Zimatlan de Alvarez,16.8667,-96.7833,Oaxaca
Mecayapan,18.2167,-94.8333,Veracruz
Tepatlaxco,19.0667,-97.9667,Puebla
Fortin de las Flores,18.9,-97,Veracruz
Acatlan de Osorio,18.2086,-98.0575,Puebla
Ayutla de los Libres,16.9,-99.2167,Guerrero
Tatahuicapan,18.25,-94.7667,Veracruz
Pajapan,18.2667,-94.6833,Veracruz
Tecpan de Galeana,17.25,-100.6833,Guerrero
Chemax,20.655,-87.9372,Yucatan
El Rosario,22.9922,-105.8572,Sinaloa
El Dorado,24.3228,-107.363,Sinaloa
Palau,27.9167,-101.4167,Coahuila de Zaragoza
Ciudad de Huitzuco,18.3,-99.35,Guerrero
La Cruz,23.9214,-106.8919,Sinaloa
Tlaxcala,19.3191,-98.1998,Tlaxcala
Tecuala,22.4004,-105.46,Nayarit
Ciudad Guadalupe Victoria,24.4497,-104.1225,Durango
Santa Catarina Juquila,16.2364,-97.2919,Oaxaca
Santiago Tulantepec,20.0397,-98.3575,Hidalgo
Rodolfo Sanchez Taboada,31.7958,-116.5911,Baja California
Ciudad Hidalgo,14.6792,-92.1497,Chiapas
Cardenas,22.0103,-99.6522,San Luis Potosi
Tepoztlan,18.9853,-99.0997,Morelos
Apaxco de Ocampo,19.9733,-99.17,Hidalgo
Grajales,19.25,-97.7833,Puebla
Pureparo de Echaiz,19.9,-102,Michoacan
Tlaltetela,19.3167,-96.9,Veracruz
La Crucecita,15.7753,-96.1425,Oaxaca
Juchique de Ferrer,19.8333,-96.7,Veracruz
Vicente Guerrero,23.75,-103.9833,Durango
Cerritos,22.4275,-100.2783,San Luis Potosi
Tinguindin,19.7333,-102.483,Michoacan
Oteapan,18,-94.6667,Veracruz
Huixcolotla,18.9219,-97.7708,Puebla
Izamal,20.9314,-89.0178,Yucatan
Coquimatlan,19.2038,-103.8086,Colima
Madera,29.19,-108.1414,Chihuahua
Guerrero Negro,27.9589,-114.0561,Baja California
Santa Rosalia,27.3389,-112.2669,Baja California Sur
Valparaiso,22.7667,-103.5667,Zacatecas
Villa Union,23.1883,-106.2158,Sinaloa
Huitzilan,19.9667,-97.6833,Puebla
Guachochi,26.8194,-107.07,Chihuahua
Juan Aldama,24.291,-103.394,Zacatecas
Ezequiel Montes,20.6667,-99.8833,Queretaro
Balancan,17.8,-91.53,Tabasco
Miahuatlan,18.2833,-97.2833,Puebla
Calkini,20.3667,-90.05,Campeche
Tempoal de Sanchez,21.5167,-98.3833,Veracruz
San Nicolas de los Ranchos,19.0667,-98.4833,Puebla
Vicente Guerrero,30.7264,-115.9903,Baja California
Santa Cruz Amilpas,17.0667,-96.6833,Oaxaca
San Miguel Xoxtla,19.1833,-98.3,Puebla
Aldama,22.9194,-98.0736,Tamaulipas
Mexicaltzingo,19.2092,-99.5858,Estado de Mexico
Angel R. Cabada,18.5969,-95.4453,Veracruz
Ascension,31.0928,-107.9964,Chihuahua
Sonoita,31.8614,-112.8544,Sonora
Anenecuilco,18.7781,-98.9861,Morelos
Santa Maria Jalapa del Marques,16.4401,-95.4434,Oaxaca
El Fuerte,26.4214,-108.62,Sinaloa
Isla Mujeres,21.2084,-86.7115,Quintana Roo
La Magdalena Chichicaspa,19.4181,-99.3228,Estado de Mexico
Santa Maria Huazolotitlan,16.3014,-97.9125,Oaxaca
Cuencame de Ceniceros,24.8667,-103.7,Durango
San Isidro Buen Suceso,19.1528,-98.1069,Tlaxcala
Saucillo,28.0333,-105.2833,Chihuahua
Dzitbalche,20.3167,-90.05,Campeche
Chiautla de Tapia,18.3,-98.6039,Puebla
San Pedro Jicayan,16.4167,-97.9833,Oaxaca
Jaltenango,15.8725,-92.725,Chiapas
Tierra Colorada,17.1656,-99.5264,Guerrero
Villa Union,23.9667,-104.0333,Durango
Rayon,19.1481,-99.58,Estado de Mexico
Bacalar,18.6769,-88.3953,Quintana Roo
Muna,20.48,-89.72,Yucatan
San Pedro Ixcatlan,18.15,-96.5,Oaxaca
Coalcoman de Vazquez Pallares,18.7771,-103.1596,Michoacan
Nuevo Progreso,26.0561,-97.9522,Tamaulipas
Coacoatzintla,19.65,-96.9333,Veracruz
Chichihualco,17.655,-99.674,Guerrero
Altamirano,16.7361,-92.0389,Chiapas
Lerma,19.8,-90.6,Campeche
Canatlan,24.52,-104.78,Durango
San Patricio,19.2,-104.6833,Jalisco
Las Veredas,23.15,-109.7,Baja California Sur
Gonzalez,22.8281,-98.4306,Tamaulipas
San Luis de La Loma,17.2714,-100.8911,Guerrero
Akil,20.2656,-89.3478,Yucatan
Nuevo Ideal,24.8875,-105.0728,Durango
Platon Sanchez,21.2833,-98.3667,Veracruz
Tlacotalpan,18.6167,-95.6667,Veracruz
San Juanito,27.97,-107.6003,Chihuahua
Tixkokob,21.0022,-89.3936,Yucatan
Santa Ana,30.5406,-111.1205,Sonora
Acanceh,20.8133,-89.4524,Yucatan
Tetela del Volcan,18.8931,-98.7297,Morelos
Pajacuaran,20.1178,-102.5667,Michoacan
La Huacana,18.9625,-101.8069,Michoacan
San Ignacio Cohuirimpo,27.05,-109.4167,Sonora
Cuatro Cienegas de Carranza,26.9861,-102.0664,Coahuila de Zaragoza
Tacotalpa,17.5931,-92.8258,Tabasco
Candelaria,18.1844,-91.0461,Campeche
Tlahualilo de Zaragoza,26.1167,-103.45,Durango
Ahuacatlan,21.0536,-104.4869,Nayarit
Ciudad Tula,23,-99.72,Tamaulipas
Cuapiaxtla de Madero,18.9167,-97.8167,Puebla
Tlalixtac de Cabrera,17.0667,-96.65,Oaxaca
Ayapango,19.1264,-98.8028,Estado de Mexico
Xicotencatl,22.9958,-98.9447,Tamaulipas
Choix,26.7061,-108.3219,Sinaloa
Tzucacab,20.0708,-89.0506,Yucatan
Anahuac,28.48,-106.7442,Chihuahua
San Gregorio Atzompa,19.0224,-98.3445,Puebla
Tekit,20.5322,-89.3314,Yucatan
Amatlan de los Reyes,18.8457,-96.9149,Veracruz
San Jose el Viejo,23.1226,-109.712,Baja California Sur
Coahuitlan,20.2667,-97.7167,Veracruz
Higuera de Zaragoza,25.95,-109.2833,Sinaloa
Rafael Lucio,19.5922,-96.9819,Veracruz
La Junta,28.4778,-107.3317,Chihuahua
Cuauhtemoc,19.3281,-103.6028,Colima
Halacho,20.4764,-90.0819,Yucatan
Concordia,23.2883,-106.0675,Sinaloa
Zacapoaxtla,19.8833,-97.5833,Puebla
San Juan Ixcaquixtla,18.45,-97.8167,Puebla
Tataltepec de Valdes,16.3064,-97.5461,Oaxaca
Tepeojuma,18.7167,-98.45,Puebla
Cocorit,27.5833,-109.9667,Sonora
Ahumada,30.6186,-106.5122,Chihuahua
El Higo,21.7667,-98.45,Veracruz
Guadalupe Yancuictlalpan,19.1831,-99.4583,Morelos
Kantunilkin,21.1,-87.4833,Quintana Roo
Ayotoxco de Guerrero,20.1,-97.4,Puebla
Buctzotz,21.2017,-88.7928,Yucatan
San Francisco del Mar,16.3394,-94.515,Oaxaca
Bahia Kino,28.9833,-111.9333,Sonora
Altar,30.7136,-111.8353,Sonora
Tamazulapam Villa del Progreso,17.675,-97.5714,Oaxaca
Celestun,20.8583,-90.4,Yucatan
Huiloapan,18.8167,-97.15,Veracruz
Hopelchen,19.7444,-89.8453,Campeche
Ojo Caliente,21.8772,-102.6756,Aguascalientes
Temascal,18.2394,-96.4031,Oaxaca
San Pedro Amuzgos,16.65,-98.1,Oaxaca
Temozon,20.8042,-88.2028,Yucatan
